ID,S-TN,S-TP,S-pH,S-Size-d(0.1),S-Size-d(0.5),S-Size-d(0.9)
D-N1,705,806.2857143,8.65,11.777,38.34,257.008
D-N2,320,794.2857143,8.18,45.008,807.765,1239.506
D-N3,420,791,7.7,611.957,875.213,1252.883
D-N4,650,768,7.7,20.27,53.408,181.77
D-N5,1475,797.7142857,7.71,9.567,40.619,116.947
D-N6,430,807.4285714,7.8,10.031,33.233,93.739
D-P1,595,770.8571429,7.68,15.136,39.22,96.597
D-P2,2190,773.7142857,7.6,14.143,42.948,140.897
D-P3,430,789.7142857,7.37,7.449,32.507,95.216
D-P4,540,800,7.37,13.128,46.725,143.055
D-P5,595,776,7.35,7.713,33.88,95.521
D-P6,870,801.1428571,7.49,12.563,33.087,70.94
D-P7,540,753.7142857,7.28,13.5,35.9,72.557
D-H1,870,911.4285714,7.37,35.451,84.056,185.556
D-H2,640,890,7.05,31.449,150.842,636.24
D-H3,430,894.2857143,7.67,6.946,37.117,131.724
D-H4,1585,968.5714286,7.73,14.433,66.472,174.936
D-H5,1035,878.2857143,7.57,20.381,636.009,1195.165
L-N1,1585,765.71,7.66,5.607,22.495,44.8
L-N2,705,773.14,7.71,8.312,31.178,79.254
L-N3,1640,793.71,7.38,8.303,46.483,936.552
L-N4,18250,777.14,7.5,5.764,27.249,69.623
L-N5,2135,861.14,7.57,12.758,42.361,103.379
L-N6,375,814.86,7.48,10.105,33.339,91.605
L-N7,2850,911.43,7.66,19.844,68.538,139.601
L-N8,2850,932.57,7.62,18.44,81.585,179.645
L-N9,540,752,7.23,5.946,24.492,55.596
L-N10,2850,911.43,7.97,11.438,37.108,100.996
L-N11,2850,932.57,7.28,17.029,43.446,115.842
L-N12,540,752,7.64,13.495,38.141,110.902
L-P1,210,746.29,7.62,11.909,32.068,63.192
L-P2,485,757.71,8.13,10.17,32.695,91.162
L-P3,540,735.43,7.97,17.16,43.073,113.937
L-P4,1145,738.86,7.65,15.044,37.702,97.554
L-P5,1310,781.14,7.76,14.477,48.848,141.613
L-P6,430,784.57,7.48,9.437,32.568,89.336
L-P7,1695,817.14,7.92,7.75,34.528,95.925
L-P8,11320,864,7.64,12.031,39.407,99.029
L-P9,6260,788,7.49,13.187,36.522,95.388
L-P10,1695,847.43,7.57,17.91,43.168,109.383
L-P11,11320,788,7.48,18.317,44.285,113.629
L-P12,6260,847.43,7.17,12.653,37.491,115.517
L-H1,5655,776,7.84,14.744,47.025,112.513
L-H2,2080,886.29,7.65,10.227,38.539,104.662
L-H3,4775,796.57,7.71,8.105,32.642,89.353
L-H4,3840,761.14,7.94,11.834,47.722,120.179
L-H5,870,969.71,7.9,12.037,48.307,122.577
L-H6,2355,814.29,7.87,16.163,42.779,115.542
L-H7,5490,849.14,7.87,16.913,43.122,111.898
L-H8,6755,1003.43,7.63,16.906,43.912,119.795
L-H9,1805,962.29,8.01,13.852,48.439,148.533
L-H10,1035,860,7.55,12.816,48.445,122.018
L-H11,4885,841.14,7.42,13.487,37.998,110.967
L-H12,5435,921.14,7.51,5.955,31.587,94.682
W-N1,7745,1165.142857,7.54,13.916,81.885,208.051
W-N2,7580,1304,7.7,13.431,59.035,179.866
W-N3,5545,1342.285714,7.61,13.475,55.644,183.295
W-N4,5490,1353.714286,7.58,13.61,47.021,150.02
W-N5,1750,837.7142857,8.16,7.198,26.968,65.552
W-N6,1640,854.8571429,8.13,9.389,32.166,116.58
W-N7,1475,1012,8.1,49.475,115.547,213.101
W-N8,2685,947.4285714,8.01,8.586,30.542,96.043
W-N9,8845,1240,7.92,11.231,40.645,160.767
W-N10,1475,1012,7.92,11.234,42.248,159.245
W-N11,2685,947.4285714,7.77,16.616,81.744,201.482
W-N12,8845,1240,7.73,14.742,69.806,196.017
W-P1,2465,835.4285714,7.73,14.665,38.334,119.034
W-P2,5270,889.7142857,7.77,12.396,34.009,82.371
W-P3,1970,768.5714286,7.88,10.796,29.792,65.966
W-P4,1365,821.7142857,8.22,8.968,31.967,99.685
W-P5,5600,903.4285714,8.18,10.246,32.64,81.933
W-P6,2190,844.5714286,8.07,15.446,41.745,127.449
W-P7,2025,799.4285714,7.85,10.622,30.311,75.191
W-P8,10055,798.2857143,7.67,11.371,31.107,70.019
W-P9,5600,903.4285714,7.79,11.464,32.164,86.913
W-P10,2190,844.5714286,7.8,11.37,35.639,110.965
W-P11,2025,799.4285714,7.71,13.551,38.874,125.606
W-P12,10055,798.2857143,7.66,12.762,35.185,90.494
W-H1,1860,805.1428571,8.07,11.328,39.973,375.469
W-H2,4720,920,8.1,20.897,80.143,199.346
W-H3,6700,974.8571429,6.89,11.228,47.731,159.858
W-H4,6865,982.2857143,6.76,15.369,57.875,174.804
W-H5,2575,960.5714286,7.06,13.165,48.036,181.69
W-H6,5050,1053.714286,7.02,29.186,82.178,172.73
W-H7,4610,980.5714286,6.97,16.475,66.41,176.989
W-H8,5325,956.5714286,6.9,13.179,54.533,177.715
W-H9,5655,924,7.54,12.406,46.868,175.772
W-H10,4060,901.1428571,7.42,12.816,45.73,169.597
W-H11,4060,998.2857143,7.36,13.281,56.314,187.891
W-H12,5710,931.4285714,7.33,12.208,48.635,168.123
