Source,Target,r,Weight
Bacterial 16S rRNA,W-DO,-0.6527873801280792,0.9207117352851688
Bacterial 16S rRNA,W-NO_{3}^{-},-0.8967762126252137,0.9974588157992295
AOB_amoA,S-Size-d((0.9-0.1)/0.5),0.7664003281386598,0.9734543007090134
AOB_amoA,W-COD,-0.8043340939649072,0.9839129918683992
AOB_amoA,W-T,0.743521645674668,0.9655186396675814
napA,S-TN,0.8255647653700837,0.9884062552214576
napA,Ⅰ-Area,-0.6313606551234852,0.9068329403686186
nirK,S-Size-d(0.1),-0.6929306854742822,0.9432615250759406
nirK,S-Size-d((0.9-0.1)/0.5),0.6478810859764392,0.9176483169342956
nirK,W-COD,-0.9531545561756105,0.9997519397443035
nirK,W-T,0.7146740546508847,0.9536462502821669
nirS,Ⅱ-Area,-0.6293645357996296,0.9054736627883587
nosZ,W-COD,-0.7137676579290988,0.9532383872531696
nosZ,W-T,0.7640430441763785,0.9726951475344828
norB,S-Size-d(0.1),-0.7309477666354129,0.9606055105471624
norB,S-Size-d(0.5),-0.6413250301812013,0.9134488349909223
norB,S-Size-d((0.9-0.1)/0.5),0.7772584678410166,0.97678212953069
norB,W-COD,-0.9721979947121182,0.9999473899932884
norB,W-T,0.7802149171811861,0.9776407815349402
hzsA,Ⅰ-Area,-0.6662121148272488,0.9287490078383607
hzsA,Ⅱ-Area,-0.7695325963939741,0.9744426558723492
hzsA,W-TN,0.6760498228865319,0.934320484065903
hzsB,S-TN,-0.6951197782420911,0.9443642748840975
hzo,BIX,-0.6715685616490564,0.931815767240551
hzo,β:α,-0.6261600447653992,0.9032677750684078
hzo,W-DO,0.7057498594985423,0.9495362374634205
hzo,W-NO_{3}^{-},0.7235490563515063,0.9575264945280956
